Date,Open,High,Low,Close,Volume
1973-02-21,1.4991651773452759,1.4991651773452759,1.4991651773452759,1.4991651773452759,99200
1973-02-22,1.5042293071746826,1.5042293071746826,1.5042293071746826,1.5042293071746826,47200
1973-02-23,1.4991651773452759,1.4991651773452759,1.4991651773452759,1.4991651773452759,133600
1973-02-26,1.4991651773452759,1.4991651773452759,1.4991651773452759,1.4991651773452759,24000
1973-02-27,1.4991651773452759,1.4991651773452759,1.4991651773452759,1.4991651773452759,41600
1973-02-28,1.4991651773452759,1.4991651773452759,1.4991651773452759,1.4991651773452759,66400
1973-03-01,1.5092955827713013,1.5092955827713013,1.5092955827713013,1.5092955827713013,93600
1973-03-02,1.5143589973449707,1.5143589973449707,1.5143589973449707,1.5143589973449707,26400
1973-03-05,1.5346195697784424,1.5346195697784424,1.5346195697784424,1.5346195697784424,68000
1973-03-06,1.5802011489868164,1.5802011489868164,1.5802011489868164,1.5802011489868164,76800
1973-03-07,1.5802011489868164,1.5802011489868164,1.5802011489868164,1.5802011489868164,51200
1973-03-08,1.5903310775756836,1.5903310775756836,1.5903310775756836,1.5903310775756836,84800
1973-03-09,1.5903310775756836,1.5903310775756836,1.5903310775756836,1.5903310775756836,78400
1973-03-12,1.585266351699829,1.585266351699829,1.585266351699829,1.585266351699829,73600
1973-03-13,1.5903310775756836,1.5903310775756836,1.5903310775756836,1.5903310775756836,47200
1973-03-14,1.5953953266143799,1.5953953266143799,1.5953953266143799,1.5953953266143799,50400
1973-03-15,1.5903310775756836,1.5903310775756836,1.5903310775756836,1.5903310775756836,70400
1973-03-16,1.585266351699829,1.585266351699829,1.585266351699829,1.585266351699829,44800
1973-03-19,1.5700719356536865,1.5700719356536865,1.5700719356536865,1.5700719356536865,28000
1973-03-20,1.539683222770691,1.539683222770691,1.539683222770691,1.539683222770691,68800
1973-03-21,1.519424557685852,1.519424557685852,1.519424557685852,1.519424557685852,94400
1973-03-22,1.4941009283065796,1.4941009283065796,1.4941009283065796,1.4941009283065796,55200
1973-03-23,1.4941009283065796,1.4941009283065796,1.4941009283065796,1.4941009283065796,117600
