Date,Open,High,Low,Close,Volume
1999-05-04,52.31354074156306,53.17396081954929,48.18352436722913,48.441650390625,22320900
1999-05-05,48.09745136005753,48.09745136005753,45.602234742093906,47.581199645996094,7565700
1999-05-06,46.80683782414329,47.753299618381476,46.16152296443543,46.763816833496094,2905700
1999-05-07,46.76382115960725,51.53915156321019,45.94642226169323,51.02289962768555,4862300
1999-05-10,50.5066289185002,50.59267087577192,48.35557998670718,48.6567268371582,2589400
1999-05-11,48.18350246733269,49.00090116990351,47.839334592566026,48.613712310791016,1839800
1999-05-12,48.871849734766954,51.53915139282642,47.58121990022205,50.592689514160156,2659300
1999-05-13,50.420569181238655,51.79724001212572,49.90431761965601,50.37754821777344,1142900
1999-05-14,49.0439331924289,49.732269096884046,47.53819840143328,48.31257629394531,2058400
1999-05-17,47.5812016679941,48.355579271994,46.8068240639942,47.23703384399414,2075000
1999-05-18,46.978907975994176,48.484642205993985,46.89286601999419,47.23703384399414,1407100
1999-05-19,47.75329091078102,48.05443779039856,47.32308108275596,47.710269927978516,727400
1999-05-20,47.8823708877703,48.26955987069027,47.064971923828125,47.064971923828125,520800
1999-05-21,46.89286772410075,47.3660984992981,46.4626579284668,46.4626579284668,936200
1999-05-24,46.118494820480706,46.290578756378025,44.74182333330218,44.95692825317383,1493000
1999-05-25,44.139533375584804,45.38714201875435,44.0534914001938,44.39765930175781,1662400
1999-05-26,45.17203956250324,45.86037540345567,43.408178970062636,45.47318649291992,1602900
1999-05-27,44.74181959989766,46.634742736816406,44.52671469797507,46.634742736816406,1220500
1999-05-28,46.63475386155452,47.36611070255676,46.118501973788234,46.763816833496094,901900
1999-06-01,45.8603549426115,45.8603549426115,43.75232737020253,44.18253707885742,953900
1999-06-02,43.881395437971875,44.09650031756978,42.676808112223625,43.537227630615234,2204300
1999-06-03,44.05349797396857,44.18256095631418,43.451204056355714,43.795372009277344,852600
1999-06-04,44.26857865153033,46.11848038332412,44.26857865153033,44.999935150146484,1357400
1999-06-07,44.87088278458582,46.634742989924284,44.87088278458582,45.38713455200195,891900
1999-06-08,44.99995831508262,45.21506327834784,43.881412506103516,43.881412506103516,571700
1999-06-09,44.22556374819224,45.08598327636719,43.79535398410477,45.08598327636719,611400
1999-06-10,44.655787135016986,44.69880812454976,43.58026239669769,43.62328338623047,664200
1999-06-11,44.010458365730614,44.2685842212481,42.89191299182153,43.537227630615234,969300
1999-06-14,43.70932380520568,44.053491709183675,41.644316381337696,42.16056823730469,821100
1999-06-15,43.279122895928495,43.62329087124402,42.848912926784074,43.19308090209961,831700
1999-06-16,44.01046545752163,45.04296904596789,44.01046545752163,44.91390609741211,690300
1999-06-17,44.39765343299279,46.03245074932392,44.39765343299279,44.7418212890625,955700
1999-06-18,44.225569795849474,44.655779618766296,43.709318008349285,44.61275863647461,613900
1999-06-21,45.903373725122684,48.14046410347918,45.817331787493586,47.839317321777344,1811000
1999-06-22,48.26952910423279,48.26952910423279,46.63473221834968,46.80681610107422,1165900
1999-06-23,46.16151369535007,46.419639587402344,44.655779325045074,44.7418212890625,1351700
1999-06-24,45.47317530167549,45.77432215797798,44.3976508148809,44.78483963012695,1408900
1999-06-25,45.085993496876846,45.989434206260825,44.99995152455456,45.60224533081055,1111500
1999-06-28,45.73127605097954,46.46263230014854,45.25804553681136,45.817317962646484,784600
1999-06-29,45.43015528604993,47.15099450143061,45.43015528604993,46.634742736816406,629800
1999-06-30,47.151002402124114,49.732261657714844,45.51620487358331,49.732261657714844,2127600
1999-07-01,49.12995613010605,49.17297710745291,48.01141071908788,48.742767333984375,813600
1999-07-02,48.570685768967685,49.00089556320123,47.96839205704072,48.82881164550781,536900
1999-07-06,48.183488778188725,49.000887248533,47.66723711270813,48.52765655517578,747600
1999-07-07,47.882340368102575,48.18348716287052,46.80681610107422,46.80681610107422,648800
1999-07-08,46.80680943598978,47.4091029397617,46.247536896772985,46.290557861328125,424400
1999-07-09,46.41962075499354,46.93587232965519,46.290557861328125,46.290557861328125,312700
1999-07-12,46.80684593521481,47.452160906748105,46.72080393901037,47.064971923828125,547700
1999-07-13,46.97890143631572,47.28004824039466,46.54869171620294,46.72077560424805,969600
1999-07-14,46.37661451244531,46.6347403817168,46.33359353423339,46.54869842529297,888200
1999-07-15,46.80683782414329,46.80683782414329,46.46266989896576,46.763816833496094,864700
1999-07-16,46.63474478953688,47.32308050598761,46.63474478953688,46.849849700927734,476700
1999-07-19,46.97890052829746,48.699739375487844,46.97890052829746,47.79629898071289,646100
1999-07-20,47.58120759036563,48.48464824081561,46.720787923270414,46.89287185668945,886100
1999-07-21,46.8068175482706,46.849838520281885,46.20452394011271,46.72077560424805,626100
1999-07-22,46.89285626088767,46.978898198981035,45.774311065673835,45.77431106567383,579500
1999-07-23,45.688288365806024,45.688288365806024,44.05349085365854,44.09651184082031,767200
1999-07-26,44.225563245328516,44.56973105268516,43.49420665469565,43.537227630615234,749500
1999-07-27,44.22556374819224,45.25806718200218,43.58024910206103,45.08598327636719,592200
1999-07-28,44.913913622146076,45.68829144321756,44.05349382095554,45.47318649291992,584800
1999-07-29,45.08598914513222,45.08598914513222,44.39765343299279,44.7418212890625,646000
1999-07-30,44.741823661663325,44.741823661663325,43.79536200728199,44.268592834472656,629600
1999-08-02,44.225550895425215,44.44065571495549,42.934921978243544,43.23606872558594,566400
1999-08-03,43.23607661373691,43.23607661373691,41.81638454582317,41.859405517578125,837700
1999-08-04,41.68734459877014,42.332659530639646,41.30015563964844,41.30015563964844,1281600
1999-08-05,41.171078597443014,41.30014153975475,39.79440721278452,40.78388977050781,1539900
1999-08-06,40.56880970848931,40.56880970848931,38.54682237413194,38.71890640258789,1308500
1999-08-09,38.89094753628482,39.57928289090933,38.41771697998047,38.41771697998047,1347500
